nombre_cientifico,autor_nombre_cientifico
hoplosternum littorale,hancock 1828
hydrolycus scomberoides,cuvier 1816
hyphessobrycon copelandi,durbin 1908
hypoclinemus mentalis,günther 1862
hypophthalmus celiae,"littman, lundberg & rocha 2021"
hypophthalmus oremaculatus,nani and fuster 1947
hypoptopoma gulare,None
hypoptopoma psilogaster,fowler 1915
hypostomus oculeus,fowler 1943
hypostomus sp.,None
hypostomus sp. 1,None
hypostomus sp. 2,None
hypostomus sp. 3,None
hypostomus sp. 4,None
hypselecara temporalis,günther 1862
iguanodectes purusii,steindachner 1908
iguanodectes sp.,None
iguanodectes spilurus,günther 1864
imparfinis sp.,None
jupiaba anteroides,gery 1965
jupiaba sp.,None
knodus sp.,None
laemolyta taeniata,kner 1858
laetacara thayeri,steindachner 1875
lasiancistrus schomburgkii,günther 1864
leiarius marmoratus,gill 1870
lepidosiren paradoxa,fitzinger 1837
leporinus agassizi,steindachner 1876
leporinus cf. agassizii,steindachner 1876
leporinus fasciatus,bloch 1794
leporinus friderici,bloch 1794
leporinus maculatus,müller & troschel 1844
leporinus moralesi,fowler 1942
leporinus sp.,None
leporinus sp. 1,None
leptodoras acipenserinus,günther 1868
loricaria sp.,None
loricariichthys maculatus,bloch 1794
loricariichthys nudirostris,kner 1853
loricariichthys sp.,None
lugubria cincta,regan 1905
lycengraulis batesii,günther 1868
megalechis picta,müller & troschel 1849
megalechis thoracata,valenciennes 1840
megaleporinus trifasciatus,steindachner 1876
melanocharacidium sp.,None
mesonauta insignis,heckel 1840
mesonauta mirificus,kullander & silfvergrip 1991
metynnis luna,cope 1878
metynnis maculatus,kner 1858
metynnis sp.,None
microschemobrycon geisleri,gery 1973
microschemobrycon sp.,None
moenkhausia agnesae,gery 1965
moenkhausia ceros,eigenmann 1908
moenkhausia cf. lepidrua,None
moenkhausia collettii,steindachner 1882
moenkhausia comma,eigenmann 1908
moenkhausia grandisquamis,müller & troschel 1845
moenkhausia intermedia,eigenmann 1908
moenkhausia melogramma,eigenmann 1908
moenkhausia oligolepis,günther 1864
moenkhausia sp.,None
moenkhausia sp. 1,None
moenkhausia sp. 2,None
moenkhuausia cf. dichroura,kner 1858
monocirrhus polyacanthus,heckel 1840
myloplus cf. levis,eigenmann & mcatee 1907
myloplus rubripinnis,müller & troschel 1844
myloplus schomburgkii,jardine 1841
myloplus sp.,None
mylossoma albiscopum,cope 1872
