clase,orden
actinopterygii,batrachoidiformes
actinopterygii,beloniformes
actinopterygii,carangiformes
actinopterygii,characiformes
actinopterygii,cichliformes
actinopterygii,clupeiformes
actinopterygii,cyprinodontiformes
actinopterygii,gymnotiformes
sarcopterygii,lepidosireniformes
chondrichthyes,myliobatiformes
actinopterygii,osteoglossiformes
actinopterygii,salmoniformes
actinopterygii,siluriformes
actinopterygii,synbranchiformes
actinopterygii,tetraodontiformes
