familia,genero
Characidae,Hemigrammus 
Characidae,Moenkhausia 
Characidae,Moenkhausia 
Characidae,Prionobrama 
Characidae,Paragoniates 
Characidae,Tetragonopterus 
Characidae,Charax 
Characidae,Ctenobrycon 
Characidae,Astyanax 
Characidae,Roeboides 
Characidae,Creagrutus 
Characidae,Moenkhausia 
Characidae,Ctenobrycon 
Characidae,Tetragonopterus 
Characidae,Roeboides 
Characidae,Cynopotamus 
Characidae,Cynopotamus 
Characidae,Roeboides 
Characidae,Cynopotamus 
Triportheidae,Triportheus
Triportheidae,Triportheus
Characidae,Brycon 
Triportheidae,Triportheus
Triportheidae,Triportheus
Characidae,Chalceus 
Characidae,Chalceus 
Characidae,Bryconops 
Characidae,Brycon 
Crenuchidae,Characidium
Doradidae,Tenellus
Doradidae,Platydoras
Doradidae,Leptodoras
Doradidae,Amblydoras 
Doradidae,Platydoras
Doradidae,Amblydoras 
Auchenipteridae,Ageneiosus
Auchenipteridae,Trachelyopterus
Auchenipteridae,Centromochlus 
Auchenipteridae,Auchenipterus
Auchenipteridae,Tatia
Pimelodidae ,Pimelodus 
Pimelodidae ,Brachyplatystoma
Pimelodidae ,Sorubin 
Pimelodidae ,Pimelodus 
Pimelodidae ,Pimelodus 
Pimelodidae ,Pimelodus 
Pimelodidae ,Callophysus 
Pimelodidae ,Leiarius 
Pimelodidae ,Pimelodus 
Pimelodidae ,Platysilurus 
Pimelodidae ,Pseudoplatystoma
Pimelodidae ,Pinirampus
Pimelodidae ,Zungaro
Pimelodidae ,Hemisorubim
Pimelodidae ,Pinirampus
Pimelodidae ,Pimelodus 
Pimelodidae ,Hypophthalmus
Pimelodidae ,Hypophthalmus
Pimelodidae ,Brachyplatystoma
Heptapteridae,Rhandia 
Auchenipteridae,Ageneiosus
Heptapteridae,Pimelodella 
Heptapteridae,Pimelodella 
Heptapteridae,Pimelodella 
Auchenipteridae,Pimelodella 
Heptapteridae,Pimelodella 
Heptapteridae,Pimelodella 
Heptapteridae,Pimelodella 
Auchenipteridae,Tatia
Auchenipteridae,Ageneiosus
Cetopsidae,Cetopsis
Cetopsidae,Cetopsis
Cetopsidae,Cetopsis
Pseudopimelodidae,Pseudopimelodus 
Pseudopimelodidae,Pseudopimelodus 
Aspredinidae,Bunocephalus 
Aspredinidae,Bunocephalus 
Aspredinidae,Bunocephalus 
Aspredinidae,Pseudobunocephalus
Aspredinidae,Bunocephalus 
Aspredinidae,Amaralia
Aspredinidae,Bunocephalus 
Aspredinidae,Bunocephalus 
Trichomycteridae,Henonemus
Callichthyidae,Hoplosternum
Callichthyidae,Megalechis
Callichthyidae,Callichthys
Callichthyidae,Hoplosternum
Callichthyidae,Corydoras
Callichthyidae,Corydoras
Callichthyidae,Corydoras
Callichthyidae,Corydoras
Callichthyidae,Callichthys
Callichthyidae,Megalechis
Callichthyidae,Dianema
Callichthyidae,Corydoras
Callichthyidae,Corydoras
Callichthyidae,Megalechis
Callichthyidae,Megalechis
Loricariidae,Ancistrus
Loricariidae,Ancistrus
Loricariidae,Farlowella
Loricariidae,Aphanotorulus
Loricariidae,Chaetostoma
Loricariidae,Chaetostoma
Loricariidae,Farlowella
Loricariidae,Pterygoplichthys
Loricariidae,Hemiodontichthys
Loricariidae,Hemiodontichthys
Loricariidae,Panaque
Loricariidae,Aphanotorulus
Loricariidae,Rineloricaria
Loricariidae,Pterygoplichthys
Loricariidae,Hypostomus
Loricariidae,Pseudorinelepis 
Loricariidae,Hypostomus
Loricariidae,Pterygoplichthys
Loricariidae,Hypostomus
Loricariidae,Hypostomus
Loricariidae,Pterygoplichthys
Loricariidae,Peckoltia
Loricariidae,Hypostomus
Loricariidae,Peckoltia
Loricariidae,Hypoptopoma
Loricariidae,Pterygoplichthys
Loricariidae,Loricariichthys
Loricariidae,Hypostomus
Loricariidae,Hypostomus
Loricariidae,Aphanotorulus
Loricariidae,Spatuloricaria
Loricariidae,Aphanotorulus
Loricariidae,Peckoltichthys
Loricariidae,Pterygoplichthys
Loricariidae,Peckoltichthys
Loricariidae,Pseudorinelepis 
Loricariidae,Aphanotorulus
Loricariidae,Pterygoplichthys
Loricariidae,Loricariichthys
Loricariidae,Loricariichthys
Loricariidae,Peckoltichthys
Loricariidae,Hypostomus
Loricariidae,Loricariichthys
Loricariidae,Ancistrus
Sternopygidae,Sternopygus
Gymnotidae,Electrophorus
Sternopygidae,Sternopygus
Gymnotidae,Gymnotus
Gymnotidae,Electrophorus
Gymnotidae,Gymnotus
Hypopomidae,Brachyhypopomus
Rhamphichthyidae,Rhamphichthys
Rhamphichthyidae,Rhamphichthys
Salmonidae,Oncorhynchus
Salmonidae,Oncorhynchus
Batrachoididae,Thalassophryne 
Batrachoididae,Thalassophryne 
Synbranchidae,Synbranchus 
Synbranchidae,Synbranchus 
Synbranchidae,Synbranchus 
Achiridae,Hypoclinemus
Achiridae,Hypoclinemus
Achiridae,Hypoclinemus
Achiridae,Hypoclinemus
Achiridae,Hypoclinemus
Achiridae,Apionichthys
Achiridae,Hypoclinemus
Cichlidae,Heros 
Cichlidae,Cichlasoma 
Cichlidae,Satanoperca
Cichlidae,Cichla 
Cichlidae,Aequidens 
Cichlidae,Biotodoma
Cichlidae,Aequidens 
Cichlidae,Chaetobranchus 
Cichlidae,Chaetobranchus 
Cichlidae,Pterophyllum
Cichlidae,Cichla 
Cichlidae,Mesonauta
Cichlidae,Crenicichla 
Cichlidae,Aequidens 
Cichlidae,Heros 
Cichlidae,Aequidens 
Cichlidae,Crenicichla 
Cichlidae,Cichlasoma 
Cichlidae,Aequidens 
Cichlidae,Crenicichla 
Cichlidae,Aequidens 
Cichlidae,Satanoperca
Cichlidae,Bujurquina 
Serrasalmidae,Myloplus
Serrasalmidae,Myloplus
Serrasalmidae,Myloplus
Cichlidae,Lugubria
Cichlidae,Bujurquina 
Cichlidae,Chaetobranchus 
Cichlidae,Pterophyllum
Cichlidae,Cichla 
Cichlidae,Satanoperca
Cichlidae,Cichlasoma 
Cichlidae,Bujurquina 
Cichlidae,Mesonauta
Cichlidae,Bujurquina 
Cichlidae,Satanoperca
Cichlidae,Bujurquina 
Cichlidae,Crenicichla 
Cichlidae,Aequidens 
Cichlidae,Cichlasoma 
Cichlidae,Bujurquina 
Cichlidae,Bujurquina 
Cichlidae,Crenicichla 
Cichlidae,Chaetobranchus 
Cichlidae,Crenicichla 
Cichlidae,Astronotus
Cichlidae,Mesonauta
Cichlidae,Aequidens 
Cichlidae,Biotodoma
Cichlidae,Crenicichla 
Cichlidae,Chaetobranchus 
Cichlidae,Crenicichla 
Cichlidae,Satanoperca
Cichlidae,Bujurquina 
Cichlidae,Lugubria
Cichlidae,Hypselecara
Cichlidae,Biotodoma
Cichlidae,Cichlasoma 
Cichlidae,Satanoperca
Cichlidae,Mesonauta
Cichlidae,Heros 
Cichlidae,Heros 
Cichlidae,Satanoperca
Cichlidae,Heros 
Cichlidae,Acaronia
Cichlidae,Hypselecara
Cichlidae,Hypselecara
Cichlidae,Acaronia
Cichlidae,Hypselecara
Cichlidae,Bujurquina 
Cichlidae,Aequidens 
Cichlidae,Bujurquina 
Cichlidae,Cichla 
Cichlidae,Heros 
Cichlidae,Aequidens 
Cichlidae,Crenicichla 
Cichlidae,Saxatilia
Cichlidae,Bujurquina 
Cichlidae,Bujurquina 
Cichlidae,Bujurquina 
Cichlidae,Bujurquina 
Cichlidae,Crenicichla 
Cichlidae,Heroina
Cichlidae,Bujurquina 
Cichlidae,Cichlasoma 
Cichlidae,Mesonauta
Cichlidae,Cichlasoma 
Cichlidae,Hypselecara
Cichlidae,Satanoperca
Cichlidae,Aequidens 
Cichlidae,Lugubria
Cichlidae,Chaetobranchus 
Cichlidae,Chaetobranchus 
Cichlidae,Cichla 
Cichlidae,Crenicichla 
Cichlidae,Acaronia
Cichlidae,Crenicichla 
Cichlidae,Bujurquina 
Cichlidae,Acaronia
Cichlidae,Biotodoma
Cichlidae,Acaronia
Cichlidae,Biotodoma
Cichlidae,Mesonauta
Cichlidae,Cichlasoma 
Cichlidae,Crenicichla 
Cichlidae,Aequidens 
Cichlidae,Biotodoma
Cichlidae,Crenicara
Cichlidae,Crenicara
Cichlidae,Mesonauta
Cichlidae,Apistogramma
Cichlidae,Bujurquina 
Cichlidae,Biotodoma
Cichlidae,Mesonauta
Cichlidae,Crenicichla 
Cichlidae,Pterophyllum
Cichlidae,Biotodoma
Cichlidae,Bujurquina 
Cichlidae,Lugubria
Cichlidae,Crenicichla 
Cichlidae,Aequidens 
Cichlidae,Crenicichla 
Cichlidae,Hypselecara
Cichlidae,Satanoperca
Cichlidae,Biotodoma
Cichlidae,Satanoperca
Cichlidae,Astronotus
Cichlidae,Cichla 
Cichlidae,Hypselecara
Cichlidae,Heros 
Cichlidae,Aequidens 
Cichlidae,Cichlasoma 
Cichlidae,Crenicichla 
Cichlidae,Aequidens 
Cichlidae,Tahuantinsuyoa
Cichlidae,Crenicara
Cichlidae,Bujurquina 
Cichlidae,Saxatilia
Cichlidae,Bujurquina 
Cichlidae,Bujurquina 
Cichlidae,Saxatilia
Cichlidae,Chaetobranchus 
Cichlidae,Hypselecara
Cichlidae,Acaricichthys
Cichlidae,Aequidens 
Cichlidae,Chaetobranchus 
Pristigasteridae,Pristigaster
Cichlidae,Heroina
Cichlidae,Bujurquina 
Characidae,Paragoniates 
