familia,genero,familia_id
auchenipteridae,tatia,7.0
doradidae,tenellus,21.0
characidae,tetragonopterus,14.0
batrachoididae,thalassophryne,8.0
characidae,thayeria,14.0
gasteropelecidae,thoracocharax,24.0
auchenipteridae,trachelyopterus,7.0
doradidae,trachydoras,21.0
triportheidae,triportheus,49.0
characidae,tyttocharax,14.0
pimelodidae,zungaro,35.0
