pais,region,provincia,distrito,localidad,distrito_id
peru,loreto,maynas,torres causana,(comunidad buen suceso),160110
peru,loreto,maynas,None,-,
peru,loreto,loreto,tigre,28 de julio,160303
peru,loreto,maynas,iquitos,Unknown locality,160101
peru,loreto,mariscal ramon castilla,yavari,Unknown locality,160403
peru,loreto,maynas,alto nanay,Unknown locality,160102
peru,loreto,maynas,belen,Unknown locality,50902
peru,loreto,loreto,nauta,Unknown locality,160301
peru,loreto,maynas,fernando lores,Unknown locality,160103
peru,loreto,maynas,las amazonas,Unknown locality,160105
peru,loreto,maynas,napo,Unknown locality,160107
peru,loreto,None,None,Unknown locality,
peru,cusco,la convencion,megantoni,Unknown locality,80914
peru,madre de dios,None,None,Unknown locality,
peru,loreto,maynas,punchana,Unknown locality,160108
peru,san martin,None,None,Unknown locality,
peru,ucayali,coronel portillo,masisea,Unknown locality,250104
peru,madre de dios,tahuamanu,tahuamanu,Unknown locality,170303
peru,None,None,None,Unknown locality,
peru,loreto,requena,puinahua,Unknown locality,160506
None,None,None,None,Unknown locality,
peru,loreto,maynas,None,Unknown locality,
peru,loreto,maynas,torres causana,Unknown locality,160110
peru,loreto,loreto,tigre,Unknown locality,160303
peru,loreto,loreto,parinari,Unknown locality,160302
peru,loreto,None,None,allpahuayo,
peru,loreto,maynas,san juan bautista,allpahuayo,50110
peru,ucayali,coronel portillo,masisea,alto ucayali,250104
peru,loreto,maynas,torres causana,aranda cocha,160110
peru,loreto,loreto,parinari,atun cocha,160302
peru,loreto,None,None,base arica,
peru,loreto,maynas,napo,base arica - repsol,160107
peru,loreto,None,None,bufeo quebrada,
peru,loreto,maynas,napo,campamento panguana,160107
peru,loreto,maynas,torres causana,campo serio,160110
peru,loreto,None,None,camu camu cocha,
peru,loreto,None,None,camunidad campo serio,
peru,loreto,requena,puinahua,canal puinahua,160506
peru,loreto,maynas,belen,canta gallo,50902
peru,loreto,loreto,trompeteros,caserio cuchara/rio corrientes,160304
peru,madre de dios,None,None,caserio infierno,
peru,madre de dios,None,None,caserio infierno rio tambopata,
peru,loreto,loreto,trompeteros,caserio providencia,160304
peru,loreto,None,None,caño,
peru,loreto,maynas,torres causana,caño anuncho,160110
peru,loreto,maynas,torres causana,caño anuncho/yanayacu pucate,160110
peru,loreto,maynas,torres causana,caño garza,160110
peru,loreto,maynas,san juan bautista,caño santo tomas,50110
peru,loreto,None,None,caño ungurahui,
peru,loreto,requena,puinahua,caño yarina,160506
peru,ucayali,coronel portillo,calleria,chanajao,250101
peru,ucayali,None,None,chanajao,
peru,ucayali,coronel portillo,calleria,chanajao (alto ucayali ),250101
peru,ucayali,coronel portillo,calleria,chanajao cerca al imiria,250101
peru,ucayali,coronel portillo,calleria,chanarrao,250101
peru,loreto,maynas,torres causana,chorococha,160110
peru,loreto,maynas,alto nanay,cocha,160102
peru,loreto,None,None,cocha,
peru,loreto,None,None,cocha aguajal,
peru,loreto,maynas,napo,cocha aleman,160107
peru,loreto,maynas,napo,cocha aleman-urbina,160107
peru,loreto,None,None,cocha bagazan,
peru,loreto,loreto,tigre,cocha desesperado,160303
peru,loreto,None,None,"cocha garza, bellavista",
peru,loreto,None,None,cocha leon,
peru,loreto,maynas,napo,cocha maquisapillo,160107
peru,loreto,maynas,napo,cocha maquisapillo rio arabela,160107
peru,loreto,loreto,nauta,cocha mauca,160301
peru,loreto,loreto,nauta,cocha mauca (rio yanayacu-pucate),160301
peru,loreto,None,None,cocha mayouruna,
peru,loreto,maynas,las amazonas,cocha mayouruna,160105
peru,loreto,None,None,cocha mundo poza - santa victoria,
peru,loreto,None,None,cocha negra(yana yacu),
peru,loreto,maynas,napo,cocha panguana rio arabela,160107
peru,loreto,mariscal ramon castilla,yavari,cocha priguisa,160403
peru,loreto,None,None,cocha sahua,
peru,loreto,None,None,cocha shinguito,
peru,loreto,None,None,cocha siruy/san pedro /rio nanay,
peru,loreto,maynas,iquitos,cocha tarapoto,160101
peru,loreto,None,None,cocha telebid curaray lote 67,
peru,loreto,maynas,san juan bautista,cocha yuto,50110
peru,loreto,maynas,napo,"com. nuevo defensor, orilla",160107
peru,loreto,maynas,napo,comunidad,160107
peru,loreto,loreto,tigre,comunidad 28 de julio,160303
peru,loreto,requena,jenaro herrera,comunidad bagazan,160510
peru,loreto,maynas,torres causana,comunidad buen suceso,160110
peru,loreto,None,None,comunidad buen suceso - chorococha,
peru,loreto,None,None,comunidad buen suceso - cocha arahuana,
peru,loreto,None,None,comunidad buen suceso - panda cocha,
peru,loreto,None,None,comunidad buen suceso - tipishca tunchi,
peru,loreto,maynas,torres causana,comunidad campo serio,160110
peru,loreto,maynas,torres causana,"comunidad campo serio, rio aushi, napo",160110
peru,loreto,loreto,nauta,comunidad carocurahayte,160301
peru,loreto,None,None,comunidad concordia,
