pais,region,provincia,distrito,localidad
peru,loreto,maynas,belen,isla iquitos cerca
peru,ucayali,coronel portillo,masisea,lago imiria
peru,ucayali,coronel portillo,masisea,lago imiria (alto ucayali
peru,loreto,alto amazonas,lagunas,lago lagunas
peru,loreto,None,None,lamistococha
peru,loreto,None,None,lamistococha-curuaray
peru,loreto,maynas,napo,largato cocha
peru,loreto,None,None,lh-04 .
peru,loreto,None,None,"lote 67, faena 48, campamento curarary"
peru,loreto,None,None,lote habana
peru,loreto,maynas,napo,machin
peru,madre de dios,tambopata,tambopata,madre de dios
peru,madre de dios,tahuamanu,tahuamanu,madre de dios
peru,loreto,maynas,napo,"maquisapillo, nuevo defensor rio arabela"
peru,loreto,maynas,belen,moenacaño
peru,loreto,None,None,mundo poza rio napo
peru,loreto,None,None,"n4x-au-ya-rc, e17 panda cocha,"
peru,loreto,loreto,nauta,nauta
peru,loreto,maynas,napo,nuevo defensor
peru,madre de dios,tambopata,tambopata,orilla del tambopata
peru,loreto,maynas,san juan bautista,pampachica
peru,loreto,maynas,torres causana,panda cocha
peru,loreto,maynas,torres causana,pandacocha
peru,loreto,maynas,torres causana,pansa cocha
peru,loreto,maynas,san juan bautista,"pintuyacu, itaya"
peru,loreto,loreto,tigre,playa
peru,loreto,None,None,poza aguajal
peru,loreto,None,None,preguntara a homero
peru,loreto,None,None,puerto arica
peru,loreto,maynas,las amazonas,puerto comandancia
peru,loreto,maynas,las amazonas,puerto fujimori
peru,loreto,maynas,None,puerto fujimori
peru,loreto,None,None,puerto fujimori
peru,loreto,maynas,las amazonas,puerto nuevo israel
peru,loreto,maynas,las amazonas,puerto santa rosa
peru,loreto,None,None,"pundacocha/aushiri, yanayacu"
None,None,None,None,putumayo
peru,loreto,None,None,qda bufeo/agua/negra/rio napo
peru,loreto,maynas,torres causana,quebarda tacarachi
peru,cusco,la convencion,megantoni,quebrada
peru,loreto,None,None,quebrada afluente (aguajal)
peru,loreto,None,None,quebrada aguajal/estacion 14 lote 39/curaray
peru,loreto,maynas,san juan bautista,quebrada allpahuayo
peru,loreto,None,None,quebrada allpahuayo
peru,loreto,maynas,torres causana,quebrada bufeo tequera
peru,loreto,None,None,quebrada cashano
peru,loreto,None,None,quebrada cerca al punto 49 - frente paiche
peru,madre de dios,tambopata,tambopata,quebrada chonta
peru,loreto,maynas,torres causana,quebrada chontilla
peru,loreto,maynas,san juan bautista,quebrada corrientillo
peru,loreto,maynas,alto nanay,quebrada curaca
peru,loreto,None,None,quebrada gravisho
peru,loreto,None,None,quebrada lobillo
peru,loreto,None,None,quebrada paujil/rio nanay
peru,loreto,None,None,quebrada pañayacu - grima pequeña
peru,loreto,None,None,quebrada rinayacu
