nombre_cientifico,autor_nombre_cientifico
Electrophorus varii,"de Santana, Wosiacki, Crampton, Sabaj, Dillman, Mendes-Júnior & Castro 2019"
Erythrinus erythrinus,(Bloch & Schneider 1801)
Farlowella amazonum ,(Günther 1864)
Farlowella smithi,Fowler 1913
Farlowella sp. ,None
Gasteropelecus sternicla,(Linnaeus 1758)
Goeldiella eques ,(Müller & Troschel 1849)
Gymnotus carapo ,Linnaeus 1758
Gymnotus javari ,"Albert, Crampton & Hagedorn 2003"
Hemigrammus cf. hyanuary,Durbin 1918
Hemigrammus hyanuary,Durbin 1918
Hemigrammus levis,Durbin 1908
Hemigrammus marginatus ,Ellis 1911
Hemigrammus ocellifer,(Steindachner 1882)
Hemigrammus pulcher,Ladiges 1938
Hemigrammus sp. ,None
Hemigrammus unilineatus,(Gill 1858)
Hemiodontichthys acipenserinus,(Kner 1853)
Hemiodus microlepis,Kner 1858
Hemiodus sp. ,None
Hemiodus unimaculatus,(Bloch 1794)
Hemisorubim platyrhynchos ,(Valenciennes 1840)
Henonemus punctatus ,(Boulenger 1887)
Henonemus sp. ,None
Heroina isonycterina,Kullander 1996
Heros efasciatus,Heckel 1840
Heros efasciatus ,Heckel 1840
Heros efasciatus ,None
Hoplerythrinus unitaeniatus,(Agassiz 1829)
Hoplerythrinus unitaeniatus,(Spix & Agassiz 1829)
Hoplias malabaricus,(Bloch 1794)
Hoplosternum littorale ,(Hancock 1828)
Hydrolycus scomberoides,(Cuvier 1816)
Hyphessobrycon copelandi,Durbin 1908
Hypoclinemus mentalis ,(Günther 1862)
Hypophthalmus celiae ,"Littman, Lundberg & Rocha 2021"
Hypophthalmus oremaculatus ,Nani and Fuster 1947
Hypoptopoma gulare,None
Hypoptopoma psilogaster,Fowler 1915
Hypostomus oculeus,(Fowler 1943)
Hypostomus sp.,None
Hypostomus sp. 1 ,None
Hypostomus sp. 2,None
Hypostomus sp. 3 ,None
Hypostomus sp. 4,None
Hypselecara temporalis,(Günther 1862)
Iguanodectes purusii ,(Steindachner 1908)
Iguanodectes sp. ,None
Iguanodectes spilurus,(Günther 1864)
Imparfinis sp. ,None
Jupiaba anteroides ,(Géry 1965)
Jupiaba sp.,None
Knodus sp. ,None
Laemolyta taeniata,(Kner 1858)
Laemolyta taeniata ,(Kner 1858)
Laetacara thayeri ,(Steindachner 1875)
Lasiancistrus schomburgkii ,(Günther 1864)
Leiarius marmoratus ,(Gill 1870)
Lepidosiren paradoxa,Fitzinger 1837
Leporinus agassizi,Steindachner 1876
Leporinus cf. Agassizii,steindachner 1876
Leporinus fasciatus,(Bloch 1794)
Leporinus fasciatus ,(Bloch 1794)
Leporinus friderici,(Bloch 1794)
Leporinus maculatus,Müller & Troschel 1844
Leporinus moralesi,Fowler 1942
Leporinus sp. ,None
Leporinus sp. 1,None
Leptodoras acipenserinus,(Günther 1868)
Loricaria sp. ,None
Loricariichthys maculatus,(Bloch 1794)
Loricariichthys nudirostris,(Kner 1853)
Loricariichthys sp. ,None
Lugubria cincta,(Regan 1905)
Lycengraulis batesii,(Günther 1868)
Megalechis picta ,(Müller & Troschel 1849)
Megalechis thoracata ,(Valenciennes 1840)
Megaleporinus trifasciatus,Steindachner 1876
Melanocharacidium sp.,None
Mesonauta insignis,(Heckel 1840)
Mesonauta mirificus,Kullander & Silfvergrip 1991
Metynnis luna,Cope 1878
Metynnis maculatus,(Kner 1858)
Metynnis sp. ,None
Microschemobrycon geisleri ,Géry 1973
Microschemobrycon sp.,None
Moenkhausia agnesae,Géry 1965
Moenkhausia ceros,Eigenmann 1908
Moenkhausia ceros ,Eigenmann 1908
Moenkhausia cf. Lepidrua ,None
Moenkhausia collettii,(Steindachner 1882)
Moenkhausia comma ,Eigenmann 1908
Moenkhausia grandisquamis,(Müller & Troschel 1845)
Moenkhausia intermedia,Eigenmann 1908
Moenkhausia melogramma,Eigenmann 1908
Moenkhausia oligolepis,(Günther 1864)
Moenkhausia sp. ,None
Moenkhausia sp. 1,None
Moenkhausia sp. 2,None
Moenkhuausia cf. dichroura ,(Kner 1858)
Monocirrhus polyacanthus,Heckel 1840
Myloplus cf. levis ,(Eigenmann & McAtee 1907)
Myloplus rubripinnis,(Müller & Troschel 1844)
Myloplus schomburgkii,(Jardine 1841)
Myloplus sp. ,None
Mylossoma albiscopum,(Cope 1872)
Mylossoma aureum,(Spix & Agassiz 1829)
Nannostomus eques,Steindachner 1876
Nannostomus trifasciatus,Steindachner 1876
Ochmacanthus reinhardtii ,(Steindachner 1882)
Oncorhynchus mykiss,(Walbaum 1792)
Osteoglossum bicirrhosum,(Cuvier 1829)
Oxyropsis wrightiana,Eigenmann & Eigenmann 1889
Panaqolus changae,(Chockley & Armbruster 2002)
Panaque sp. ,None
Paragoniates alburnus,Steindachner 1876
Paratrygon aiereba,(Muller & Henle 1841)
Parodon buckleyi,Boulenger 1887
Parodon pongoensis,(Allen 1942)
Peckoltia sp. 1,None
Peckoltia sp. 2,None
Peckoltichthys bachi,Boulenger 1898)
Pellona flavipinnis,(Valenciennes 1836)
Phenacogaster pectinata,(Cope 1870)
Phenacogaster sp. ,Lucena & Malabarba 2010
Phenacorhamdia sp.,None
Piaractus brachypomus,(Cuvier 1818)
Pimelodella buckleyi ,(Boulenger 1887)
Pimelodella cristata,(Müller y Troschel 1849)
Pimelodella cristata,(Müller & Troschel 1849)
Pimelodella gracilis ,(Valenciennes 1835)
Pimelodus blochii,Valenciennes 1840
Pimelodus ornatus ,Kner 1858
Pimelodus pictus ,Steindachner 1876
Pinirampus pirinampu ,(Spix & Agassiz 1829)
Planiloricaria cryptodon ,(Isbrücker 1971)
Platydoras armatulus,(Valenciennes 1840)
Platysilurus mucosus,(Vaillant 1880)
Platyurosternarchus macrostoma,(Günther 1870)
Potamorhina altamazonica,(Cope 1878)
Potamorhina latior,(Spix & Agassiz 1829)
Potamorhina pristigaster,(Steindachner 1876)
Potamorrhaphis eigenmanni ,Miranda Ribeiro 1915
Potamorrhaphis guianensis,(Jardine 1843)
Potamotrygon motoro,(Muller & Henle 1841)
Potamotrygon tigrina,"Carvalho, Sabaj & Lovejoy 2011"
Prionobrama filigera,(Cope 1870)
Pristigaster cayana,Cuvier 1829
Prochilodus nigricans,Spix & Agassiz 1829
Psectrogaster amazonica,Eigenmann & Eigenmann 1889
Psectrogaster essequibensis,(Günther 1864)
Psectrogaster rutiloides,(Kner 1858)
Pseudanos trimaculatus,(Kner 1858)
Pseudobunocephalus bifidus ,(Eigenmann 1942)
Pseudohemiodon lamina,(Günther 1868)
Pseudopimelodus bufonius ,(Valenciennes 1840)
Pseudoplatystoma punctifer ,(Castelnau 1855)
Pseudorinelepis genibarbis ,(Valenciennes 1840)
Pseudorinelepis genibarbis ,None
Pseudotylosurus angusticeps,(Günther 1866)
Pterophyllum scalare,(Schultze 1823)
Pterygoplichthys pardalis ,(Castelnau 1855)
Pterygoplichthys scrophus,(Cope 1874)
Pygocentrus nattereri,Kner 1858
Pyrrhulina brevis,Steindachner 1876
Pyrrhulina sp.,None
Pyrrhulina vittata,Regan 1912
Pyrrhulina zigzag ,Zarske & Géry 1997
Rhamdia quelen,(Quoy & Gaimard 1824)
Rhamdia quelen,(Quoy y Gaimard 1824)
Rhamphichthys pantherinus ,Castelnau 1855
Rhamphichthys pantherinus ,Castelnau 1856
Rhaphiodon vulpinus,Spix & Agassiz 1829
Rineloricaria cf. wolfei,Fowler 1940
Rineloricaria sp. ,None
Roeboides myersii,Fowler 1932
Salminus iquitensis ,None
Satanoperca jurupari,(Heckel 1840)
Saxatilia anthurus,(Cope 1872)
Schizodon fasciatus,Spix & Agassiz 1829
Semaprochilodus insignis,(Jardine & Schomburgk 1841)
Semaprochilodus insignis,(Jardine 1841)
Serrapinnus sp.,None
Serrasalmus compressus,"Jégu, Leão & Santos 1991"
Serrasalmus elongatus,Kner 1858
Serrasalmus humeralis,Valenciennes 1850
Serrasalmus rhombeus,(Linnaeus 1766)
Serrasalmus rhombeus ,(Linnaeus 1766)
Serrasalmus sp. ,None
Serrasalmus spilopleura,Kner 1858
Serrrasalmus sp. ,None
Sorubim elongatus,"Littmann, Burr, Schmidt & Isern 2001"
Spatuloricaria evansii,(Boulenger 1892)
Sphoeroides asellus,(Müller & Troschel 1849)
Steatogenys elegans,(Steindachner 1880)
Steindachnerina bimaculata,(Steindachner 1876)
Steindachnerina dobula,(Günther 1868)
Steindachnerina guentheri,(Eigenmann & Eigenmann 1889)
Steindachnerina hypostoma,(Boulenger 1887)
Steindachnerina leucisca,(Günther 1868)
Steindachnerina planiventris,Vari &Vari 1989
Steindachnerina planiventris,Vari & Vari 1989
Steindachnerina quasimodoi,Vari & Vari 1989
Steindachnerina sp. ,None
Sternopygus macrurus,(Bloch & Schneider 1801)
Stethaprion erythrops ,Cope 1870
Stichonodon insignis ,(Steindachner 1876)
Synbranchus marmoratus,Bloch 1795
Tahuantinsuyoa macantzatza,Kullander 1986
Tatia dunni ,(Fowler 1945)
Tatia intermedia ,(Steindachner 1877)
Tenellus sp. ,None
Tetragonopterus argenteus,Cuvier 1816
Tetragonopterus chalceus,Spix & Agassiz 1829
Thalassophryne amazonica,Steindachner 1876
Thayeria obliqua,Eigenmann 1908
Thoracocharax securis ,(De Filippi 1853)
Thoracocharax stellatus,(Kner 1858)
Trachelyopterus galeatus,(Linnaeus 1766)
Trachydoras nattereri,(Steindachner 1881)
Triportheus angulatus,(Spix & Agassiz 1829)
Tyttocharax sp. ,None
Zungaro zungaro ,(Humboldt 1821)
knodus sp. ,None
