familia,genero,nombre_cientifico,especie,genero_id,autor_nombre_cientifico
curimatidae,steindachnerina,steindachnerina planiventris,planiventris,185.0,Vari &Vari 1989
curimatidae,steindachnerina,steindachnerina quasimodoi,quasimodoi,185.0,Vari & Vari 1989
curimatidae,steindachnerina,steindachnerina sp.,sp.,185.0,No author
sternopygidae,sternopygus,sternopygus macrurus,macrurus,186.0,Bloch & Schneider 1801
characidae,stethaprion,stethaprion erythrops,erythrops,187.0,Cope 1870
characidae,stichonodon,stichonodon insignis,insignis,188.0,Steindachner 1876
synbranchidae,synbranchus,synbranchus marmoratus,marmoratus,189.0,Bloch 1795
cichlidae,tahuantinsuyoa,tahuantinsuyoa macantzatza,macantzatza,190.0,Kullander 1986
auchenipteridae,tatia,tatia dunni,dunni,191.0,Fowler 1945
auchenipteridae,tatia,tatia intermedia,intermedia,191.0,Steindachner 1877
doradidae,tenellus,tenellus sp.,sp.,192.0,No author
characidae,tetragonopterus,tetragonopterus argenteus,argenteus,193.0,Cuvier 1816
characidae,tetragonopterus,tetragonopterus chalceus,chalceus,193.0,Spix & Agassiz 1829
batrachoididae,thalassophryne,thalassophryne amazonica,amazonica,194.0,Steindachner 1876
characidae,thayeria,thayeria obliqua,oblicua,195.0,Eigenmann 1908
gasteropelecidae,thoracocharax,thoracocharax securis,securis,196.0,De Filippi 1853
gasteropelecidae,thoracocharax,thoracocharax stellatus,stellatus,196.0,Kner 1858
auchenipteridae,trachelyopterus,trachelyopterus galeatus,galeatus,197.0,Linnaeus 1766
doradidae,trachydoras,trachydoras nattereri,nattereri,198.0,Steindachner 1881
triportheidae,triportheus,triportheus angulatus,angulatus,199.0,Spix & Agassiz 1829
characidae,tyttocharax,tyttocharax sp.,sp.,200.0,No author
pimelodidae,zungaro,zungaro zungaro,zungaro,201.0,Humboldt 1821
