familia,genero,nombre_cientifico,especie,genero_id
callichthyidae,corydoras,corydoras agassizii,leucomelas,56.0
callichthyidae,corydoras,corydoras armatus,armatus,56.0
callichthyidae,corydoras,corydoras cf. sychri,sychri,56.0
callichthyidae,corydoras,corydoras leucomelas,leucomelas,56.0
callichthyidae,corydoras,corydoras multiradiatus,multiradiatus,56.0
callichthyidae,corydoras,corydoras pastazensis,pastazensis,56.0
callichthyidae,corydoras,corydoras rabauti,rabauti,56.0
callichthyidae,corydoras,corydoras semiaquilus,semiaquilus,56.0
callichthyidae,corydoras,corydoras splendens,splendens,56.0
characidae,creagrutus,creagrutus cochui,cochui,57.0
characidae,creagrutus sp.,creagrutus sp.,sp.,58.0
cichlidae,crenicara,crenicara punctulata,punctulata,59.0
cichlidae,crenicichla,crenicichla johanna,johanna,60.0
cichlidae,crenicichla,crenicichla lucius,lucius,60.0
cichlidae,crenicichla,crenicichla proteus,proteus,60.0
cichlidae,crenicichla,crenicichla reticulatus,reticulatus,60.0
cichlidae,crenicichla,crenicichla sedentaria,sedentaria,60.0
cichlidae,crenicichla,crenicichla sp.,sp.,60.0
characidae,ctenobrycon,ctenobrycon hauxwellianus,hauxwellianus,61.0
curimatidae,curimata,curimata aspera,aspera,62.0
curimatidae,curimata,curimata cisandina,cisandina,62.0
curimatidae,curimatopsis,curimata cisandina,macrolepis,64.0
curimatidae,curimata,curimata knerii,kneri,62.0
curimatidae,curimata,curimata knerii,knerii,62.0
curimatidae,curimata,curimata roseni,roseni,62.0
curimatidae,curimata,curimata vittata,vittata,62.0
curimatidae,curimatella,curimatella alburnus,alburnus,63.0
curimatidae,curimatella,curimatella dorsalis,dorsalis,63.0
curimatidae,curimatella,curimatella meyeri,meyeri,63.0
curimatidae,curimatella,curimatella sp. 1,sp. 1,63.0
curimatidae,curimatopsis,curimatopsis macrolepis,macrolepis,64.0
cynodontidae,cynodon,cynodon gibbus,gibbus,65.0
characidae,cynopotamus,cynopotamus amazonus,amazonus,66.0
curimatidae,cyphocharax,cyphocharax festivus,festivus,67.0
curimatidae,cyphocharax,cyphocharax notatus,cyphocharax,67.0
curimatidae,cyphocharax,cyphocharax notatus,notatus,67.0
curimatidae,cyphocharax,cyphocharax pantostictos,pantostictos,67.0
curimatidae,cyphocharax,cyphocharax sp.,sp.,67.0
curimatidae,cyphocharax,cyphocharax sp. 1,sp. 1,67.0
curimatidae,cyphocharax,cyphocharax sp. 2,sp. 2,67.0
curimatidae,cyphocharax,cyphocharax spiluropsis,spiluropsis,67.0
cetopsidae,denticetopsis,denticetopsis seducta,seducta,68.0
callichthyidae,dianema,dianema longibarbis,longibarbis,69.0
callichthyidae,dianema,dianema urostriatum,urostriatum,69.0
auchenipteridae,duringlanis,duringlanis perugiae,perugiae,70.0
sternopygidae,eigenmannia,eigenmannia limbata,limbata,71.0
sternopygidae,eigenmannia,eigenmannia sp.,sp.,71.0
crenuchidae,elachocharax,elachocharax pulcher,pulcher,72.0
gymnotidae,electrophorus,electrophorus varii,varii,73.0
erythrinidae,erythrinus,erythrinus erythrinus,erythrinus,74.0
loricariidae,farlowella,farlowella amazonum,amazonum,75.0
loricariidae,farlowella,farlowella smithi,smithi,75.0
loricariidae,farlowella,farlowella sp.,sp.,75.0
gasteropelecidae,gasteropelecus,gasteropelecus sternicla,sternicla,76.0
heptapteridae,goeldiella,goeldiella eques,eques,77.0
gymnotidae,gymnotus,gymnotus carapo,carapo,78.0
gymnotidae,gymnotus,gymnotus javari,javari,78.0
characidae,hemigrammus,hemigrammus cf. hyanuary,cf. hyanuary,79.0
characidae,hemigrammus,hemigrammus hyanuary,hyanuary,79.0
characidae,hemigrammus,hemigrammus levis,levis,79.0
characidae,hemigrammus,hemigrammus marginatus,marginatus,79.0
characidae,hemigrammus,hemigrammus ocellifer,ocellifer,79.0
characidae,hemigrammus,hemigrammus pulcher,pulcher,79.0
characidae,hemigrammus,hemigrammus sp.,sp.,79.0
characidae,hemigrammus,hemigrammus unilineatus,unilineatus,79.0
loricariidae,hemiodontichthys,hemiodontichthys acipenserinus,acipenserinus,80.0
hemiodontidae,hemiodus,hemiodus microlepis,microlepis,81.0
hemiodontidae,hemiodus,hemiodus sp.,sp.,81.0
hemiodontidae,hemiodus,hemiodus unimaculatus,unimaculatus,81.0
pimelodidae,hemisorubim,hemisorubim platyrhynchos,platyrhynchos,82.0
trichomycteridae,henonemus,henonemus punctatus,punctatus,83.0
trichomycteridae,henonemus,henonemus sp.,sp.,83.0
cichlidae,heroina,heroina isonycterina,isonycterina,84.0
cichlidae,heros,heros efasciatus,efasciatus,85.0
erythrinidae,hoplerythrinus,hoplerythrinus unitaeniatus,unitaeniatus,86.0
erythrinidae,hoplias,hoplias malabaricus,malabaricus,87.0
callichthyidae,hoplosternum,hoplosternum littorale,littorale,88.0
cynodontidae,hydrolycus,hydrolycus scomberoides,scomberoides,89.0
characidae,hyphessobrycon,hyphessobrycon copelandi,copelandi,90.0
achiridae,hypoclinemus,hypoclinemus mentalis,mentalis,91.0
pimelodidae,hypophthalmus,hypophthalmus celiae,celiae,92.0
pimelodidae,hypophthalmus,hypophthalmus oremaculatus,oremaculatus,92.0
loricariidae,hypoptopoma,hypoptopoma gulare,gulare,93.0
loricariidae,hypoptopoma,hypoptopoma psilogaster,psilogaster,93.0
loricariidae,hypostomus,hypostomus oculeus,oculeus,94.0
loricariidae,hypostomus,hypostomus sp.,sp.,94.0
loricariidae,hypostomus,hypostomus sp. 1,sp. 1,94.0
loricariidae,hypostomus,hypostomus sp. 2,sp. 2,94.0
loricariidae,hypostomus,hypostomus sp. 3,sp. 3,94.0
loricariidae,hypostomus,hypostomus sp. 4,sp. 4,94.0
cichlidae,hypselecara,hypselecara temporalis,temporalis,95.0
iguanodectidae,iguanodectes,iguanodectes purusii,purusii,96.0
iguanodectidae,iguanodectes,iguanodectes sp.,sp.,96.0
iguanodectidae,iguanodectes,iguanodectes spilurus,spilurus,96.0
heptapteridae,imparfinis,imparfinis sp.,sp.,97.0
characidae,jupiaba,jupiaba anteroides,anteroides,98.0
characidae,jupiaba,jupiaba sp.,sp.,98.0
characidae,knodus,knodus sp.,sp.,99.0
anostomidae,laemolyta,laemolyta taeniata,taeniata,100.0
cichlidae,laetacara,laetacara thayeri,thayeri,101.0
loricariidae,lasiancistrus,lasiancistrus schomburgkii,schomburgkii,102.0
pimelodidae,leiarius,leiarius marmoratus,marmoratus,103.0
lepidosirenidae,lepidosiren,lepidosiren paradoxa,paradoxa,104.0
anostomidae,leporinus,leporinus agassizi,agassizi,105.0
anostomidae,leporinus,leporinus cf. agassizii,cf. agassizii,105.0
anostomidae,leporinus,leporinus fasciatus,fasciatus,105.0
