familia,genero,nombre_cientifico,especie
Prochilodontidae,Semaprochilodus,Semaprochilodus insignis,insignis 
Prochilodontidae,Prochilodus,Prochilodus nigricans,nigricans
Prochilodontidae,Prochilodus,Prochilodus nigricans,nigricans
Prochilodontidae,Prochilodus,Prochilodus nigricans,nigricans
Prochilodontidae,Prochilodus,Prochilodus nigricans,nigricans
Prochilodontidae,Prochilodus,Prochilodus nigricans,nigricans
Prochilodontidae,Prochilodus,Prochilodus nigricans,nigricans
Prochilodontidae,Prochilodus,Prochilodus nigricans,nigricans
Prochilodontidae,Prochilodus,Prochilodus nigricans,nigricans
Prochilodontidae,Prochilodus,Prochilodus nigricans,nigricans
Prochilodontidae,Semaprochilodus,Semaprochilodus insignis,insignis 
Prochilodontidae,Semaprochilodus,Semaprochilodus insignis,insignis 
Prochilodontidae,Prochilodus,Prochilodus nigricans,nigricans
Prochilodontidae,Prochilodus,Prochilodus nigricans,nigricans
Anostomidae ,Schizodon,Schizodon fasciatus,fasciatus
Anostomidae ,Leporinus,Leporinus fasciatus,fasciatus
Anostomidae ,Laemolyta,Laemolyta taeniata,taeniata
Anostomidae ,Leporinus,Leporinus friderici,friderici
Anostomidae ,Laemolyta,Laemolyta taeniata,taeniata
Anostomidae ,Megaleporinus ,Megaleporinus trifasciatus,trifasciatus
Anostomidae ,Leporinus,Leporinus friderici,friderici
Anostomidae ,Leporinus,Leporinus agassizi,agassizi
Anostomidae ,Leporinus,Leporinus maculatus,maculatus
Anostomidae ,Leporinus,Leporinus fasciatus,fasciatus
Anostomidae ,Leporinus,Leporinus agassizi,agassizi
Anostomidae ,Megaleporinus ,Megaleporinus trifasciatus,trifasciatus
Anostomidae ,Leporinus,Leporinus fasciatus,fasciatus
Anostomidae ,Leporinus,Leporinus agassizi,agassizi
Anostomidae ,Chilodus ,Chilodus punctatus,punctatus
Erythrinidae,Hoplias ,Hoplias malabaricus,malabaricus
Erythrinidae,Erythrinus ,Erythrinus erythrinus,erythrinus
Erythrinidae,Erythrinus ,Erythrinus erythrinus,erythrinus
Erythrinidae,Hoplias ,Hoplias malabaricus,malabaricus
Erythrinidae,Hoplias ,Hoplias malabaricus,malabaricus
Erythrinidae,Hoplias ,Hoplias malabaricus,malabaricus
Erythrinidae,Hoplerythrinus ,Hoplerythrinus unitaeniatus,unitaeniatus
Lebiasinidae,Pyrrhulina ,Pyrrhulina brevis,brevis
Lebiasinidae,Nannostomus ,Nannostomus trifasciatus,trifasciatus
Lebiasinidae,Pyrrhulina ,Pyrrhulina vittata,vittata
Lebiasinidae,Copella ,Copella metae,metae
Lebiasinidae,Pyrrhulina ,Pyrrhulina vittata,vittata
Lebiasinidae,Nannostomus ,Nannostomus eques,eques
Lebiasinidae,Nannostomus ,Nannostomus trifasciatus,trifasciatus
Lebiasinidae,Copeina ,Copeina guttata,guttata
Lebiasinidae,Pyrrhulina ,Pyrrhulina brevis,brevis
Gasteropelecidae,Thoracocharax ,Thoracocharax stellatus,stellatus
Gasteropelecidae,Thoracocharax ,Thoracocharax stellatus,stellatus
Gasteropelecidae,Gasteropelecus ,Gasteropelecus sternicla,sternicla
Ctenoluciidae,Boulengerella ,Boulengerella maculata,maculata
