nombre_cientifico,autor_nombre_cientifico
Crenicichla johanna,Heckel 1840
Acestrorhynchus falcatus,(Bloch 1794)
Acestrorhynchus falcirostris,(Cuvier 1819)
Semaprochilodus insignis,(Jardine 1841)
Pseudanos trimaculatus,(Kner 1858)
Acanthodoras spinosissimus,(Eigenmann & Eigenmann 1888)
Platydoras armatulus,(Valenciennes 1840)
Batrochoglanis raninus,(Valenciennes 1840)
Metynnis maculatus,(Kner 1858)
Pimelodella cristata,(Müller y Troschel 1849)
Serrasalmus rhombeus,(Linnaeus 1766)
Cyphocharax notatus,(Steindachner 1908)
Cyphocharax spiluropsis,(Eigenmann & Eigenmann 1889)
Curimatella dorsalis,(Eigenmann & Eigenmann 1889)
Steindachnerina guentheri,(Eigenmann & Eigenmann 1889)
Ctenobrycon hauxwellianus,(Cope 1870)
Bryconops melanurus,(Bloch 1794)
Salminus iquitensis ,
Ageneiosus inermis,(Linnaeus 1766)
Potamorrhaphis guianensis,(Jardine 1843)
Pseudotylosurus angusticeps,(Günther 1866)
Auchenipterichthys coracoideus,(Eigenmann & Allen 1942)
Corydoras cf. sychri,Weitzman 1960
Charax tectifer,(Cope 1870)
Psectrogaster essequibensis,(Günther 1864)
Ancistrus sp. ,
Trachydoras nattereri,(Steindachner 1881)
Eigenmannia limbata,(Schreiner & Miranda Ribeiro 1903)
Pimelodus blochii,Valenciennes 1840
Moenkhausia grandisquamis,(Müller & Troschel 1845)
Platyurosternarchus macrostoma,(Günther 1870)
Farlowella amazonum ,(Günther 1864)
Farlowella smithi,Fowler 1913
Sorubim elongatus,"Littmann, Burr, Schmidt & Isern 2001"
Rineloricaria sp. ,
Hypoptopoma psilogaster,Fowler 1915
Parodon pongoensis,(Allen 1942)
Leporinus sp. ,
Leporinus moralesi,Fowler 1942
Leporinus friderici,(Bloch 1794)
Steatogenys elegans,(Steindachner 1880)
Gymnotus javari ,"Albert, Crampton & Hagedorn 2003"
Gasteropelecus sternicla,(Linnaeus 1758)
Hyphessobrycon copelandi,Durbin 1908
Moenkhausia intermedia,Eigenmann 1908
Moenkhuausia cf. dichroura ,(Kner 1858)
Phenacogaster pectinata,(Cope 1870)
Astyanax sp. ,
Iguanodectes spilurus,(Günther 1864)
Bryconops caudomaculatus,(Günther 1864)
Moenkhausia melogramma,Eigenmann 1908
Auchenipterus sp. 1,
Auchenipterus sp. 2,
Moenkhausia oligolepis,(Günther 1864)
Jupiaba sp.,
knodus sp. ,
Creagrutus sp. ,
Elachocharax pulcher,Myers 1927
Phenacorhamdia sp.,
Cyphocharax festivus,Vari 1992
Ochmacanthus reinhardtii ,(Steindachner 1882)
Microschemobrycon geisleri ,Géry 1973
Characidium pellucidum,Eigenmann 1909
Characidium pteroides,Eigenmann 1909
Stethaprion erythrops ,Cope 1870
Tetragonopterus argenteus,Cuvier 1816
Phenacorhamdia sp.,
Knodus sp. ,
Duringlanis perugiae,(Steindachner 1882)
Anablepsoides sp. ,
Imparfinis sp. ,
Denticetopsis seducta ,"Vari, Ferraris & de Pinna 2005"
Characidium pellucidum,Eigenmann 1909
Characidium steindachneri,Cope 1878
Characidium etheostoma ,Cope 1872
Melanocharacidium sp.,
Ammocryptocharax elegans ,Weitzman & Kanazawa 1976
Tyttocharax sp. ,
Pimelodella gracilis ,(Valenciennes 1835)
Hemigrammus marginatus ,Ellis 1911
Bryconops melanurus,(Bloch 1794)
Bujurquina peregrinabunda ,Kullander 1986
Satanoperca jurupari,(Heckel 1840)
Tatia intermedia ,(Steindachner 1877)
Crenicichla lucius ,Cope 1870
Laetacara thayeri ,(Steindachner 1875)
Trachelyopterus galeatus,(Linnaeus 1766)
Platydoras armatulus,(Valenciennes 1840)
Ancistrus sp. ,
Lasiancistrus schomburgkii ,(Günther 1864)
Panaqolus changae,(Chockley & Armbruster 2002)
Tatia dunni ,(Fowler 1945)
Bunocephalus coracoideus,(Cope 1874)
Apteronotus albifrons ,(Linnaeus 1766)
Potamorrhaphis eigenmanni ,Miranda Ribeiro 1915
Corydoras cf. sychri,Weitzman 1960
Pimelodella cristata,(Müller y Troschel 1849)
Thalassophryne amazonica,Steindachner 1876
Stethaprion erythrops ,Cope 1870
Denticetopsis seducta ,"Vari, Ferraris & de Pinna 2005"
Moenkhuausia cf. dichroura ,(Kner 1858)
Hemigrammus pulcher,Ladiges 1938
Tetragonopterus argenteus,Cuvier 1816
Curimatella dorsalis,(Eigenmann & Eigenmann 1889)
Knodus sp. ,
Characidium etheostoma ,Cope 1872
Leporinus sp. ,
Brachychalcinus nummus,Böhlke 1958
Phenacogaster sp. ,Lucena & Malabarba 2010
Rineloricaria sp. ,
Apistogramma eunotus ,"Kullander, 1981"
Phenacorhamdia sp.,
Sternopygus macrurus,(Bloch & Schneider 1801)
Triportheus angulatus,(Spix & Agassiz 1829)
Pygocentrus nattereri,Kner 1858
Brycon amazonicus ,(Agassiz 1829)
Lugubria cincta,(Regan 1905)
Acestrorhynchus heterolepis,(Cope 1878)
Bujurquina peregrinabunda ,Kullander 1986
Tatia dunni ,(Fowler 1945)
Hypostomus sp.,
Ancistrus sp. ,
Pimelodus ornatus ,Kner 1858
Hypselecara temporalis,(Günther 1862)
Pimelodella cristata,(Müller y Troschel 1849)
Platydoras armatulus,(Valenciennes 1840)
Roeboides myersii,Fowler 1932
Potamorrhaphis eigenmanni ,Miranda Ribeiro 1915
Pseudanos trimaculatus,(Kner 1858)
Curimatella alburnus,(Müller & Troschel 1844)
Batrochoglanis raninus,(Valenciennes 1840)
Cyphocharax notatus,(Steindachner 1908)
Synbranchus marmoratus,Bloch 1795
Prochilodus nigricans,Spix & Agassiz 1829
Planiloricaria cryptodon ,(Isbrücker 1971)
Mesonauta mirificus,Kullander & Silfvergrip 1991
Pterophyllum scalare,(Schultze 1823)
Heros efasciatus ,Heckel 1840
Aequidens tetramerus,(Heckel 1840)
Acarichthys heckelii,(Müller & Troschel 1849)
Erythrinus erythrinus,(Bloch & Schneider 1801)
Cyphocharax sp. ,
Acestrorhynchus falcirostris,(Cuvier 1819)
Iguanodectes purusii ,(Steindachner 1908)
Boulengerella maculata,(Valenciennes 1850)
Hemigrammus pulcher,Ladiges 1938
Ctenobrycon hauxwellianus,(Cope 1870)
Moenkhausia ceros ,Eigenmann 1908
Nannostomus eques,Steindachner 1876
Cichlasoma amazonarum,Kullander 1983
Carnegiella sp. ,
Hoplias malabaricus,(Bloch 1794)
Crenicichla sp. ,
Serrrasalmus sp. ,
Acaronia nassa,(Heckel 1840)
Leporinus fasciatus ,(Bloch 1794)
Bryconops melanurus,(Bloch 1794)
Laemolyta taeniata,(Kner 1858)
Brachyhypopomus sp.,
Chalceus sp. ,
Oxyropsis wrightiana,Eigenmann & Eigenmann 1889
Rineloricaria sp. ,
Moenkhausia cf. Lepidrua ,
Cyphocharax spiluropsis,(Eigenmann & Eigenmann 1889)
Electrophorus varii,"de Santana, Wosiacki, Crampton, Sabaj, Dillman, Mendes-Júnior & Castro 2019"
Heros efasciatus ,
Hemigrammus pulcher,Ladiges 1938
Hoplias malabaricus,(Bloch 1794)
Pterophyllum scalare,(Schultze 1823)
Iguanodectes sp. ,
Chilodus punctatus,Müller & Troschel 1844
Laemolyta taeniata,(Kner 1858)
Leporinus cf. Agassizii,steindachner 1876
Bryconops melanurus,(Bloch 1794)
Chalceus sp. ,
Acestrorhynchus sp. ,
Cyphocharax sp. 1,
Cyphocharax sp. 2,
Laemolyta taeniata,(Kner 1858)
Leporinus fasciatus ,(Bloch 1794)
Crenicichla sp. ,
Lugubria cincta,(Regan 1905)
Satanoperca jurupari,(Heckel 1840)
Leporinus friderici,(Bloch 1794)
Acaronia nassa,(Heckel 1840)
Cichlasoma amazonarum,Kullander 1983
Aequidens tetramerus,(Heckel 1840)
Pimelodella cristata,(Müller & Troschel 1849)
Mesonauta mirificus,Kullander & Silfvergrip 1991
Brachyhypopomus sp. ,
Steatogenys elegans,(Steindachner 1880)
Thayeria obliqua,Eigenmann 1908
Hemigrammus sp. ,
Moenkhausia ceros,Eigenmann 1908
Leporinus sp. 1,
Anadoras grypus,(Cope 1872)
Cyphocharax sp. ,
Characidae sp. ,
Semaprochilodus insignis,(Jardine 1841)
Satanoperca jurupari,(Heckel 1840)
Heros efasciatus,Heckel 1840
Chilodus punctatus,Müller & Troschel 1844
Ctenobrycon hauxwellianus,(Cope 1870)
Biotodoma cupido,(Heckel 1840)
Mesonauta mirificus,Kullander & Silfvergrip 1991
Iguanodectes spilurus,(Günther 1864)
Cyphocharax sp. 2,
Moenkhausia collettii,(Steindachner 1882)
Dianema urostriatum,(Miranda Ribeiro 1912)
Dianema urostriatum,(Miranda Ribeiro 1912)
Dianema urostriatum,(Miranda Ribeiro 1912)
Eigenmannia sp. ,
Moenkhausia ceros,Eigenmann 1908
Moenkhausia sp. 1,
Moenkhausia sp. 2,
Hemigrammus levis,Durbin 1908
Hemigrammus cf. hyanuary,Durbin 1918
Laemolyta taeniata ,(Kner 1858)
Crenicichla sp. ,
Serrasalmus rhombeus ,(Linnaeus 1766)
Hemiodus sp. ,
Bryconops sp. ,
Anchoviella sp.,
Hyphessobrycon copelandi,Durbin 1908
