nombre_cientifico,autor_nombre_cientifico
Pyrrhulina brevis,Steindachner 1876
Nannostomus trifasciatus,Steindachner 1876
Pyrrhulina vittata,Regan 1912
Copella metae,(Eigenmann 1914)
Pyrrhulina vittata,Regan 1912
Nannostomus eques,Steindachner 1876
Nannostomus trifasciatus,Steindachner 1876
Copeina guttata,(Steindachner 1876)
Pyrrhulina brevis,Steindachner 1876
Thoracocharax stellatus,(Kner 1858)
Thoracocharax stellatus,(Kner 1858)
Gasteropelecus sternicla,(Linnaeus 1758)
Boulengerella maculata,(Valenciennes 1850)
Boulengerella cuvieri,(Spix & Agassiz 1829)
Acestrorhynchus falcatus,(Bloch 1794)
Acestrorhynchus microlepis,(Schomburgk 1841)
Acestrorhynchus lacustris,(Lütken 1875)
Acestrorhynchus lacustris,(Lütken 1875)
Hydrolycus scomberoides,(Cuvier 1816)
Hydrolycus scomberoides,(Cuvier 1816)
Cynodon gibbus,Spix & Agassiz 1829
Cynodon gibbus,Spix & Agassiz 1829
Hydrolycus scomberoides,(Cuvier 1816)
Myloplus rubripinnis,(Müller & Troschel 1844)
Mylossoma albiscopum,(Cope 1872)
Serrasalmus compressus,"Jégu, Leão & Santos 1991"
Serrasalmus elongatus,Kner 1858
Serrasalmus rhombeus,(Linnaeus 1766)
Pygocentrus nattereri,Kner 1858
Serrasalmus elongatus,Kner 1858
Colossoma macropomum,(Cuvier 1818)
Serrasalmus rhombeus,(Linnaeus 1766)
Serrasalmus rhombeus,(Linnaeus 1766)
Pygocentrus nattereri,Kner 1858
Serrasalmus rhombeus,(Linnaeus 1766)
Mylossoma albiscopum,(Cope 1872)
Metynnis luna,Cope 1878
Pygocentrus nattereri,Kner 1858
Myloplus rubripinnis,(Müller & Troschel 1844)
Pygocentrus nattereri,Kner 1858
Myloplus rubripinnis,(Müller & Troschel 1844)
Piaractus brachypomus,(Cuvier 1818)
Serrasalmus rhombeus,(Linnaeus 1766)
Pygocentrus nattereri,Kner 1858
Serrasalmus humeralis,Valenciennes 1850
Serrasalmus humeralis,Valenciennes 1850
Serrasalmus rhombeus,(Linnaeus 1766)
Serrasalmus rhombeus,(Linnaeus 1766)
Serrasalmus elongatus,Kner 1858
Serrasalmus rhombeus,(Linnaeus 1766)
Serrasalmus spilopleura,Kner 1858
Mylossoma albiscopum,(Cope 1872)
Metynnis luna,Cope 1878
Charax caudimaculatus,Lucena 1987
Bryconops melanurus,(Bloch 1794)
Moenkhausia oligolepis,(Günther 1864)
Paragoniates alburnus,Steindachner 1876
Astyanax abramis,(Jenyns 1842)
Astyanax multidens ,(Pearson 1924)
Astyanax multidens ,(Pearson 1924)
Aphyocharax pusillus,Günther 1868
Jupiaba anteroides ,(Géry 1965)
Bryconops inpai ,"Knöppel, Junk & Géry 1968"
Bryconops melanurus,(Bloch 1794)
Chrysobrycon cf. hesperus ,(Böhlke 1958)
Chrysobrycon eliasi,"Vanegas, Azpelicueta & Ortega 2011 "
Chrysobrycon yoliae,"Vanegas-Ríos, Azpelicueta & Ortega 2014"
Microschemobrycon sp.,
Serrapinnus sp.,
Hemigrammus ocellifer,(Steindachner 1882)
Hemigrammus unilineatus,(Gill 1858)
Hemigrammus pulcher,Ladiges 1938
Hemigrammus hyanuary,Durbin 1918
Moenkhausia agnesae,Géry 1965
Moenkhausia collettii,(Steindachner 1882)
Prionobrama filigera,(Cope 1870)
Paragoniates alburnus,Steindachner 1876
Tetragonopterus argenteus,Cuvier 1816
Charax gibbosus,(Linnaeus 1758)
Ctenobrycon hauxwellianus,(Cope 1870)
Astyanax abramis,(Jenyns 1842)
Roeboides myersii,Fowler 1932
Creagrutus cochui,Géry 1964
Moenkhausia oligolepis,(Günther 1864)
Ctenobrycon hauxwellianus,(Cope 1870)
Tetragonopterus chalceus,Spix & Agassiz 1829
Roeboides myersii,Fowler 1932
Cynopotamus amazonus,(Günther 1868)
Cynopotamus amazonus,(Günther 1868)
Roeboides myersii,Fowler 1932
Cynopotamus amazonus,(Günther 1868)
Triportheus angulatus,(Spix & Agassiz 1829)
Triportheus angulatus,(Spix & Agassiz 1829)
Brycon melanopterus,(Cope 1872)
Triportheus angulatus,(Spix & Agassiz 1829)
Triportheus angulatus,(Spix & Agassiz 1829)
Chalceus macrolepidotus,Cuvier 1816
Chalceus erythrurus,(Cope 1870)
Bryconops inpai ,"Knöppel, Junk & Géry 1968"
Brycon melanopterus,(Cope 1872)
Characidium sp. ,
Tenellus sp. ,
Platydoras armatulus,(Valenciennes 1840)
Leptodoras acipenserinus,(Günther 1868)
Amblydoras affinis,(Kner 1855)
Platydoras armatulus,(Valenciennes 1840)
Amblydoras hancockii,(Valenciennes 1840)
Ageneiosus inermis,Linnaeus 1766
Trachelyopterus galeatus,(Linnaeus 1766)
Centromochlus heckelii,(De Filippi 1853)
Auchenipterus nuchalis,Spix & Agassiz 1829
Tatia intermedia ,(Steindachner 1877)
Pimelodus blochii,Valenciennes 1840
Brachyplatystoma rousseauxii,(Castelnau 1855)
Sorubim elongatus,"Littmann, Burr, Schmidt & Isern 2001"
Pimelodus blochii,Valenciennes 1840
Pimelodus pictus ,Steindachner 1876
Pimelodus blochii,Valenciennes 1840
Callophysus macropterus ,(Lichtenstein 1819)
Leiarius marmoratus ,(Gill 1870)
Pimelodus pictus ,Steindachner 1876
Platysilurus mucosus,(Vaillant 1880)
Pseudoplatystoma punctifer ,(Castelnau 1855)
Pinirampus pirinampu ,(Spix & Agassiz 1829)
Zungaro zungaro ,(Humboldt 1821)
Hemisorubim platyrhynchos ,(Valenciennes 1840)
Pinirampus pirinampu ,(Spix & Agassiz 1829)
Pimelodus blochii,Valenciennes 1840
Hypophthalmus oremaculatus ,Nani and Fuster 1947
Hypophthalmus celiae ,"Littman, Lundberg & Rocha 2021"
Brachyplatystoma rousseauxii,(Castelnau 1855)
Rhamdia quelen,(Quoy y Gaimard 1824)
Ageneiosus uranophthalmus,Ribeiro y Rapp Py-Daniel 2010
Pimelodella cristata,(Müller y Troschel 1849)
Pimelodella gracilis ,(Valenciennes 1835)
Pimelodella cristata,(Müller y Troschel 1849)
Pimelodella buckleyi ,(Boulenger 1887)
Pimelodella cristata,(Müller y Troschel 1849)
Pimelodella cristata,(Müller y Troschel 1849)
Pimelodella cristata,(Müller y Troschel 1849)
Tatia dunni ,(Fowler 1945)
Ageneiosus vittatus ,Steindachner 1908
Cetopsis candiru ,Spix & Agassiz 1829
Cetopsis coecutiens ,(Lichtenstein 1819)
Cetopsis sp. ,
Pseudopimelodus bufonius ,(Valenciennes 1840)
Pseudopimelodus bufonius ,(Valenciennes 1840)
Bunocephalus verrucosus ,(Walbaum 1792)
Bunocephalus coracoideus,(Cope 1874)
Bunocephalus coracoideus,(Cope 1874)
Pseudobunocephalus bifidus ,(Eigenmann 1942)
Bunocephalus coracoideus,(Cope 1874)
Amaralia hypsiura,(Kner 1855)
Bunocephalus coracoideus,(Cope 1874)
Bunocephalus coracoideus,(Cope 1874)
Henonemus punctatus ,(Boulenger 1887)
Hoplosternum littorale ,(Hancock 1828)
Megalechis thoracata ,(Valenciennes 1840)
Callichthys callichthys,(Linneo 1758)
Hoplosternum littorale ,(Hancock 1828)
Corydoras splendens ,(Castelnau 1855)
Corydoras leucomelas ,Eigenmann & Allen 1942
Corydoras splendens ,(Castelnau 1855)
Corydoras multiradiatus ,(Orcés V. 1960).
Callichthys callichthys,(Linneo 1758)
Megalechis thoracata ,(Valenciennes 1840)
Dianema longibarbis ,Cope 1872
Corydoras leucomelas ,Eigenmann & Allen 1942
Corydoras agassizii ,Steindachner 1876
Megalechis thoracata ,(Valenciennes 1840)
Megalechis picta ,(Müller & Troschel 1849)
Ancistrus sp. 1,
Ancistrus sp. 2,
Farlowella amazonum ,(Günther 1864)
Aphanotorulus emarginatus ,(Valenciennes 1840)
Chaetostoma sp. ,
Chaetostoma sp. ,
Farlowella amazonum ,(Günther 1864)
Pterygoplichthys scrophus,(Cope 1874)
Hemiodontichthys acipenserinus,(Kner 1853)
Hemiodontichthys acipenserinus,(Kner 1853)
Panaque sp. ,
Aphanotorulus emarginatus ,(Valenciennes 1840)
Rineloricaria cf. wolfei,Fowler 1940
Pterygoplichthys pardalis ,(Castelnau 1855)
Hypostomus sp. 1 ,
Pseudorinelepis genibarbis ,(Valenciennes 1840)
Hypostomus oculeus,(Fowler 1943)
Pterygoplichthys scrophus,(Cope 1874)
Hypostomus sp. 2,
Hypostomus sp. 3 ,
Pterygoplichthys pardalis ,(Castelnau 1855)
Peckoltia sp. 1,
Hypostomus sp. 4,
Peckoltia sp. 2,
Hypoptopoma gulare,
Pterygoplichthys scrophus,(Cope 1874)
Loricariichthys sp. ,
Hypostomus oculeus,(Fowler 1943)
Hypostomus oculeus,(Fowler 1943)
Aphanotorulus emarginatus ,(Valenciennes 1840)
Spatuloricaria evansii,(Boulenger 1892)
Aphanotorulus emarginatus ,(Valenciennes 1840)
Peckoltichthys bachi,Boulenger 1898)
Pterygoplichthys scrophus,(Cope 1874)
Peckoltichthys bachi,Boulenger 1898)
Pseudorinelepis genibarbis ,
Aphanotorulus horridus ,(Kner 1854)
Pterygoplichthys pardalis ,(Castelnau 1855)
Loricariichthys maculatus,(Bloch 1794)
Loricariichthys nudirostris,(Kner 1853)
Peckoltichthys bachi,Boulenger 1898)
Hypostomus oculeus,(Fowler 1943)
Loricariichthys maculatus,(Bloch 1794)
Ancistrus sp. 2,
Sternopygus macrurus,(Bloch & Schneider 1801)
Electrophorus varii,"de Santana, Wosiacki, Crampton, Sabaj, Dillman, Mendes-Júnior & Castro e C. 2019"
Sternopygus macrurus,(Bloch & Schneider 1801)
Gymnotus carapo ,Linnaeus 1758
Electrophorus varii,"de Santana, Wosiacki, Crampton, Sabaj, Dillman, Mendes-Júnior & Castro e C. 2019"
Gymnotus carapo ,Linnaeus 1758
Brachyhypopomus sp.,
Rhamphichthys pantherinus ,Castelnau 1855
Rhamphichthys pantherinus ,Castelnau 1856
Oncorhynchus mykiss,(Walbaum 1792)
Oncorhynchus mykiss,(Walbaum 1792)
Thalassophryne amazonica,Steindachner 1876
Thalassophryne amazonica,Steindachner 1876
Synbranchus marmoratus,Bloch 1795
Synbranchus marmoratus,Bloch 1795
Synbranchus marmoratus,Bloch 1795
Hypoclinemus mentalis ,(Günther 1862)
Hypoclinemus mentalis ,(Günther 1862)
Hypoclinemus mentalis ,(Günther 1862)
Hypoclinemus mentalis ,(Günther 1862)
Hypoclinemus mentalis ,(Günther 1862)
Apionichthys cf. nattereri,(Steindachner 1876)
Hypoclinemus mentalis ,(Günther 1862)
Heros efasciatus ,Heckel 1840
Cichlasoma amazonarum,Kullander 1983
