id,scientific_name
262,parodon buckleyi
263,parodon pongoensis
264,peckoltia sp. 1
265,peckoltia sp. 2
266,peckoltichthys bachi
267,pellona flavipinnis
268,phenacogaster pectinata
269,phenacogaster sp.
270,phenacorhamdia sp.
271,piaractus brachypomus
272,pimelodella buckleyi
273,pimelodella cristata
274,pimelodella gracilis
275,pimelodus blochii
276,pimelodus ornatus
277,pimelodus pictus
278,pinirampus pirinampu
279,planiloricaria cryptodon
280,platydoras armatulus
281,platysilurus mucosus
282,platyurosternarchus macrostoma
283,potamorhina altamazonica
284,potamorhina latior
285,potamorhina pristigaster
286,potamorrhaphis eigenmanni
287,potamorrhaphis guianensis
288,potamotrygon motoro
289,potamotrygon tigrina
290,prionobrama filigera
291,pristigaster cayana
292,prochilodus nigricans
293,psectrogaster amazonica
294,psectrogaster essequibensis
295,psectrogaster rutiloides
296,pseudanos trimaculatus
297,pseudobunocephalus bifidus
298,pseudohemiodon lamina
299,pseudopimelodus bufonius
300,pseudoplatystoma punctifer
301,pseudorinelepis genibarbis
302,pseudotylosurus angusticeps
303,pterophyllum scalare
304,pterygoplichthys pardalis
305,pterygoplichthys scrophus
306,pygocentrus nattereri
307,pyrrhulina brevis
308,pyrrhulina sp.
309,pyrrhulina vittata
310,pyrrhulina zigzag
311,rhamdia quelen
312,rhamphichthys pantherinus
313,rhaphiodon vulpinus
314,rineloricaria cf. wolfei
315,rineloricaria sp.
316,rineloricaria sp.
317,roeboides myersii
318,salminus iquitensis
319,satanoperca jurupari
320,saxatilia anthurus
321,schizodon fasciatus
322,semaprochilodus insignis
323,serrapinnus sp.
324,serrasalmus compressus
325,serrasalmus elongatus
326,serrasalmus humeralis
327,serrasalmus rhombeus
328,serrasalmus sp.
329,serrasalmus spilopleura
330,serrrasalmus sp.
331,sorubim elongatus
332,sorubim elongatus
333,spatuloricaria evansii
334,sphoeroides asellus
335,steatogenys elegans
336,steindachnerina bimaculata
337,steindachnerina dobula
338,steindachnerina guentheri
339,steindachnerina hypostoma
340,steindachnerina leucisca
341,steindachnerina planiventris
342,steindachnerina quasimodoi
343,steindachnerina sp.
344,sternopygus macrurus
345,stethaprion erythrops
346,stichonodon insignis
347,synbranchus marmoratus
348,tahuantinsuyoa macantzatza
349,tatia dunni
350,tatia intermedia
351,tenellus sp.
352,tetragonopterus argenteus
353,tetragonopterus chalceus
354,thalassophryne amazonica
355,thayeria obliqua
356,thoracocharax securis
357,thoracocharax stellatus
358,trachelyopterus galeatus
359,trachydoras nattereri
360,triportheus angulatus
361,tyttocharax sp.
362,zungaro zungaro
