id,name,status
1,"Red trampa de 2""",1
2,Red alevinera,1
3,"Red trampa de 2.5""",1
4,Atarraya,1
5,"Red trampa de 3""",1
6,Anzuelo,1
7,Rotenona,1
8,"Red trampa de 4""",1
9,Pusahua,1
