id,localidad,district
211,rio amazonas,belen
212,rio amazonas/isla iquitos,belen
213,rio apurimac (kimbiri),None
214,rio apurimac (kimbiri),None
215,"rio arabela, orilla playa flor de cooc",napo
216,rio aushiri parte altab,torres causana
217,rio ausshiri/quebarda mahuari,None
218,rio chamaya,None
219,rio correintes,trompeteros
220,rio cumbaza,juan guerra
221,rio curaray,napo
222,rio mayo,juan guerra
223,rio nanay,None
224,rio nanay,san juan bautista
225,rio pintuyacu,alto nanay
226,rio samiria,parinari
227,rio samiria /1 ra zona tipisca,None
228,rio shimbillo bajo,None
229,rio tocache,tocache
230,rio yanayacu,torres causana
231,rojas cocha,tigre
232,rojas cocha rio pucacuro,tigre
233,rumocoha,san juan bautista
234,sacarita,None
235,san antonio,masisea
236,san antonio,anco
237,san antonio - alto ucayali,masisea
238,san antonio alto ucayali,masisea
239,san jose de sisa,san jose de sisa
240,san pablo de tipishca,nauta
241,san pablo de tipishca,None
242,san pablo de tipishca (rio marañon,nauta
243,san pablo tipishca,nauta
244,san pablo tipishca(rio marañon),nauta
245,santa clara,iquitos
246,santa clotilde,napo
247,santa victoria,napo
248,santa victoria resaca,None
249,santa victoria rio napo,napo
250,santa victoria/rio napo resaca,None
251,saposoa,saposoa
252,shapajal-lamistocoha,None
253,shiriara,None
254,shiruy caño/rio nanay,san juan bautista
255,shiruycaño,san juan bautista
256,sierra del dividor ucayali,padre marquez
257,sierra del divisor,padre marquez
258,tipishca,alto nanay
259,tipishca,None
260,tipishca cuncchi/rio aushiri,None
261,tipishca nashiño,napo
262,tipishca tunchi,torres causana
263,tipishca virote,tigre
264,tipishca wuitoyacu,None
265,tres cochas,tigre
266,tres cochas rio pucacuro,tigre
267,vieja cocha,None
268,vieja cocha,punchana
269,vieja cocha rio nanay,punchana
270,viejacocha,punchana
271,wistococha,None
272,zona alta de huachana,iquitos
273,zona alta del pintuyacu,san juan bautista
274,zona baja de huachana,iquitos
275,zona baja del pintuyacu,san juan bautista
276,zona media de huachana,iquitos
277,zona media del pintuyacu,san juan bautista
